City,Country
Amsterdam,Netherlands
Atlanta,United States
Baltimore,United States
Belo Horizonte,Brazil
Bergamo,Italy
Bergen,Norway
Berlin,Germany
Bielefeld,Germany
Birmingham,United Kingdom
Bochum,Germany
Bonn,Germany
Boston,United States
Brasilia,Brazil
Brescia,Italy
Brussels,Belgium
Buenos Ares,Argentina
Buffalo,United States
Cagliari,Italy
Calgary,Canada
Camden,United States
Catania,Italy
Charleroi,Belgium
Charlotte,United States
Chicago,United States
Cleveland,United States
Cologne,Germany
Copenhagen,Denmark
Dallas,United States
Denver,United States
Dortmund,Germany
Dublin,Ireland
Düsseldorf,Germany
Edmonton,Canada
Erfurt,Germany
Essen,Germany
Frankfurt,Germany
Genoa,Italy
Glasgow,United Kingdom
Gold Coast,Australia
Guadalajara,Mexico
Hamburg,Germany
Hanover,Germany
Helsinki,Finland
Houston,United States
Jersey City,United States
Jerusalem,Israel
Kaohsiung,Taiwan
Karlsruhe,Germany
Lausanne,Switzerland
Lille,France
London,United Kingdom
Los Angeles,United States
Lyon,France
Manchester,United Kingdom
Marseille,France
Mexico City,Mexico
Miami,United States
Milan,Italy
Minneapolis,United States
Monterrey,Mexico
Montreal,Canada
Munich,Germany
Naples,Italy
New York,United States
Newark,United States
Newcastle,United Kingdom
Norfolk,United States
Nottingham,United Kingdom
Nuremburg,Germany
Oceanside,United States
Oslo,Norway
Ottawa,Canada
Paris,France
Philadelphia,United States
Phoenix,United States
Pittsburg,United States
Portland,United States
Porto Alegre,Brazil
Recife,Brazil
Rennes,France
Rio de Janerio,Brazil
Rome,Italy
Rotterdam,Netherlands
Saabrücken,Germany
Sacramento,United States
Saint Louis,United States
Salt Lake City,United States
Salvador,Brazil
San Diego,United States
San Fransisco,United States
San Jose,United States
Seattle,United States
Sheffeild,United Kingdom
Stockholm,Sweden
Stuttgart,Germany
Sydney,Australia
Tacoma,United States
Taipei,Taiwan
Toronto,Canada
Toulouse,France
Turin,Italy
Vancouver,Canada
Vienna,Austria
Warsaw,Poland
Washington DC,United States